Higher Trade and Delivery Quantity,
Date: 15-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
Godawari Power And Ispat Ltd.,GPIL,NSE,Iron & Steel,Steel & Iron Products,3550518.00,2.58,1376338.00,7161724.00,2.06,3480702.00,303.35,4.93,"GPIL,"
Eris Lifesciences Ltd.,ERIS,NSE,Healthcare,Pharmaceuticals & Drugs,71327.00,2.57,27786.00,119274.00,2.32,51322.00,1451.40,4.41,"ERIS,"
ICICI Prudential Asset Management Company Ltd.,ICICIAMC,NSE,Finance,Finance - Asset Management,1244722.00,2.55,488560.00,2401037.00,2.90,826708.00,3221.00,-3.95,"ICICIAMC,"
Suzlon Energy Ltd.,SUZLON,NSE,Capital Goods,Electric Equipment,67706927.00,2.55,26586963.00,215457241.00,2.58,83566091.00,49.13,7.13,"SUZLON,"
ICICI Lombard General Insurance Company Ltd.,ICICIGI,NSE,Finance,Insurance,905081.00,2.51,360155.00,1397457.00,2.25,620154.00,1858.00,4.25,"ICICIGI,"
Indus Towers Ltd.,INDUSTOWER,NSE,Telecom,Telecommunication - Service  Provider,4423130.00,2.51,1763689.00,10073376.00,2.90,3473632.00,420.25,-4.15,"INDUSTOWER,"
Newgen Software Technologies Ltd.,NEWGEN,NSE,Information Technology,IT - Software,817270.00,2.50,327002.00,4015524.00,4.01,1001794.00,472.80,6.21,"NEWGEN,"
Jaiprakash Power Ventures Ltd.,JPPOWER,NSE,Power,Power Generation/Distribution,67761098.00,2.44,27775721.00,295990877.00,2.70,109707036.00,18.85,9.72,"JPPOWER,"
DCM Shriram Ltd.,DCMSHRIRAM,NSE,Diversified,Diversified,39817.00,2.37,16776.00,74478.00,1.87,39832.00,1174.60,5.01,"DCMSHRIRAM,"
Jindal Saw Ltd.,JINDALSAW,NSE,Iron & Steel,Steel & Iron Products,2235956.00,2.34,956455.00,6291533.00,2.41,2613195.00,219.24,6.96,"JINDALSAW,"
Tube Investments of India Ltd.,TIINDIA,NSE,Automobile & Ancillaries,Auto Ancillary,275061.00,2.33,118120.00,401569.00,1.65,243453.00,2755.00,1.45,"TIINDIA,"
Tata Capital Ltd.,TATACAP,NSE,Finance,Finance - NBFC,1579038.00,2.32,681412.00,2913613.00,1.91,1522813.00,332.25,3.30,"TATACAP,"
Page Industries Ltd.,PAGEIND,NSE,Textile,Textile,32261.00,2.31,13973.00,62846.00,2.22,28367.00,36530.00,1.90,"PAGEIND,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,947341.00,2.28,415815.00,1870076.00,2.88,649272.00,472.30,2.77,"TRITURBINE,"
eClerx Services Ltd.,ECLERX,NSE,Information Technology,BPO/ITeS,276344.00,2.27,121966.00,428487.00,1.89,226908.00,1489.10,2.66,"ECLERX,"
Cyient Ltd.,CYIENT,NSE,Information Technology,IT - Software,376851.00,2.24,168196.00,2177102.00,5.27,413463.00,962.60,7.42,"CYIENT,"
HDFC Asset Management Company Ltd.,HDFCAMC,NSE,Finance,Finance - Asset Management,1358374.00,2.24,606133.00,2160698.00,1.86,1163932.00,2663.70,4.62,"HDFCAMC,"
Techno Electric & Engineering Company Ltd.,TECHNOE,NSE,Infrastructure,Engineering - Construction,317421.00,2.24,141915.00,820014.00,3.07,267451.00,1195.25,7.37,"TECHNOE,"
CarTrade Tech Ltd.,CARTRADE,NSE,Information Technology,e-Commerce,219836.00,2.22,99187.00,429942.00,1.56,274842.00,1784.90,-2.01,"CARTRADE,"
Computer Age Management Services Ltd.,CAMS,NSE,Finance,Depository Services,901492.00,2.21,407161.00,1918073.00,1.85,1036212.00,728.05,3.23,"CAMS,"
Gillette India Ltd.,GILLETTE,NSE,Fast Moving Consumer Goods,Household & Personal Products,35382.00,2.20,16095.00,47489.00,1.69,28043.00,7813.00,1.73,"GILLETTE,"
IndusInd Bank Ltd.,INDUSINDBK,NSE,Banking,Bank - Private,1624917.00,2.20,738463.00,3272348.00,1.58,2066765.00,840.10,2.59,"INDUSINDBK,"
Aegis Logistics Ltd.,AEGISLOG,NSE,Trading,Trading,733357.00,2.18,336730.00,4078507.00,3.39,1201845.00,658.80,6.61,"AEGISLOG,"
Canara HSBC Life Insurance Company Ltd.,CANHLIFE,NSE,Finance,Insurance,1521127.00,2.18,697125.00,2114338.00,2.38,889869.00,146.47,1.06,"CANHLIFE,"
Caplin Point Laboratories Ltd.,CAPLIPOINT,NSE,Healthcare,Pharmaceuticals & Drugs,134335.00,2.13,63017.00,233605.00,2.16,108289.00,1735.60,2.87,"CAPLIPOINT,"
BEML Ltd.,BEML,NSE,Capital Goods,Construction Vehicles,168544.00,2.11,79989.00,465824.00,1.66,279828.00,1711.60,5.45,"BEML,"
Granules India Ltd.,GRANULES,NSE,Healthcare,Pharmaceuticals & Drugs,586354.00,2.10,279663.00,1075020.00,1.59,677545.00,652.65,3.20,"GRANULES,"
Intellect Design Arena Ltd.,INTELLECT,NSE,Information Technology,IT - Software,290073.00,2.06,141121.00,706452.00,1.88,375168.00,689.90,5.80,"INTELLECT,"
Praj Industries Ltd.,PRAJIND,NSE,Capital Goods,Engineering - Industrial Equipments,1118711.00,2.06,543004.00,2814393.00,1.84,1531182.00,352.45,2.71,"PRAJIND,"
Piramal Pharma Ltd.,PPLPHARMA,NSE,Healthcare,Pharmaceuticals & Drugs,1476345.00,2.05,721566.00,3597862.00,1.56,2302549.00,148.50,1.39,"PPLPHARMA,"
RR Kabel Ltd.,RRKABEL,NSE,Electricals,Cable,138620.00,2.05,67580.00,296075.00,1.88,157832.00,1392.00,1.62,"RRKABEL,"
The Jammu & Kashmir Bank Ltd.,J&KBANK,NSE,Banking,Bank - Private,3595857.00,2.05,1757390.00,8282582.00,1.78,4661478.00,127.16,2.65,"J&KBANK,"
Godrej Industries Ltd.,GODREJIND,NSE,Chemicals,Chemicals,84166.00,2.04,41273.00,219297.00,1.97,111075.00,906.35,1.98,"GODREJIND,"
Finolex Cables Ltd.,FINCABLES,NSE,Electricals,Cable,270887.00,2.03,133337.00,552100.00,1.84,300790.00,883.60,4.35,"FINCABLES,"
Rail Vikas Nigam Ltd.,RVNL,NSE,Infrastructure,Engineering - Construction,2979774.00,2.03,1465801.00,14149575.00,2.10,6729471.00,287.06,5.62,"RVNL,"
Reliance Power Ltd.,RPOWER,NSE,Power,Power Generation/Distribution,39856364.00,2.00,19909275.00,250087845.00,3.05,81993930.00,28.94,10.84,"RPOWER,"
DOMS Industries Ltd.,DOMS,NSE,Fast Moving Consumer Goods,Printing & Stationery,20671.00,1.99,10365.00,48618.00,1.54,31666.00,2388.20,0.62,"DOMS,"
Indian Bank,INDIANB,NSE,Banking,Bank - Public,1378191.00,1.96,701731.00,3464905.00,1.85,1877236.00,946.00,-2.12,"INDIANB,"
Abbott India Ltd.,ABBOTINDIA,NSE,Healthcare,Pharmaceuticals & Drugs,8418.00,1.95,4321.00,15735.00,1.90,8285.00,25975.00,0.97,"ABBOTINDIA,"
Aditya Infotech Ltd.,CPPLUS,NSE,Trading,Trading,237820.00,1.90,125211.00,543577.00,2.06,263985.00,2066.90,5.77,"CPPLUS,"
Star Health and Allied Insurance Company Ltd.,STARHEALTH,NSE,Finance,Insurance,343724.00,1.90,180455.00,542046.00,1.65,328186.00,479.00,1.71,"STARHEALTH,"
Tata Power Company Ltd.,TATAPOWER,NSE,Power,Power Generation/Distribution,6938777.00,1.89,3673632.00,17610989.00,1.88,9392293.00,421.85,3.00,"TATAPOWER,"
Timken India Ltd.,TIMKEN,NSE,Automobile & Ancillaries,Bearings,58953.00,1.89,31115.00,104749.00,1.91,54929.00,3571.20,2.89,"TIMKEN,"
CG Power and Industrial Solutions Ltd.,CGPOWER,NSE,Capital Goods,Electric Equipment,1938215.00,1.87,1035169.00,4100236.00,1.71,2401095.00,748.00,4.45,"CGPOWER,"
Emmvee Photovoltaic Power Ltd.,EMMVEE,NSE,Capital Goods,Electric Equipment,2726647.00,1.87,1455152.00,7949500.00,2.14,3710080.00,256.70,7.73,"EMMVEE,"
Billionbrains Garage Ventures Ltd.,GROWW,NSE,Finance,Finance - Stock Broking,18128559.00,1.85,9782952.00,131089257.00,2.66,49207967.00,208.44,7.05,"GROWW,"
Dr. Reddy's Laboratories Ltd.,DRREDDY,NSE,Healthcare,Pharmaceuticals & Drugs,2113000.00,1.85,1144118.00,4693413.00,2.23,2107012.00,1217.80,-1.46,"DRREDDY,"
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,NSE,Mining,Mining & Minerals,1526155.00,1.83,834732.00,4775985.00,1.62,2942925.00,622.30,1.25,"GMDCLTD,"
Syrma SGS Technology Ltd.,SYRMA,NSE,Electricals,Electronics - Components,546379.00,1.82,300951.00,1586874.00,1.90,835410.00,895.05,3.89,"SYRMA,"
PG Electroplast Ltd.,PGEL,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,2217875.00,1.80,1233697.00,12552393.00,2.21,5682084.00,537.90,10.49,"PGEL,"
Jyoti CNC Automation Ltd.,JYOTICNC,NSE,Capital Goods,Engineering - Industrial Equipments,1316708.00,1.79,734273.00,2902713.00,1.51,1921334.00,698.65,-0.04,"JYOTICNC,"
Anupam Rasayan India Ltd.,ANURAS,NSE,Chemicals,Chemicals,219236.00,1.77,123714.00,356293.00,1.99,178887.00,1287.80,1.00,"ANURAS,"
The Great Eastern Shipping Company Ltd.,GESHIP,NSE,Logistics,Shipping,469608.00,1.76,266175.00,780224.00,1.54,505302.00,1400.40,4.88,"GESHIP,"
Power Grid Corporation Of India Ltd.,POWERGRID,NSE,Power,Power Generation/Distribution,14102867.00,1.75,8066771.00,21897202.00,1.64,13355593.00,312.45,4.03,"POWERGRID,"
Amara Raja Energy & Mobility Ltd.,ARE&M,NSE,Automobile & Ancillaries,Batteries,453947.00,1.72,263924.00,936127.00,1.88,498581.00,756.40,2.40,"ARE&M,"
Elecon Engineering Company Ltd.,ELECON,NSE,Capital Goods,Engineering - Industrial Equipments,452036.00,1.72,262590.00,2614306.00,4.20,622498.00,412.85,-0.46,"ELECON,"
UNO Minda Ltd.,UNOMINDA,NSE,Automobile & Ancillaries,Auto Ancillary,939844.00,1.72,547907.00,1604949.00,1.58,1013399.00,1100.10,2.03,"UNOMINDA,"
JSW Energy Ltd.,JSWENERGY,NSE,Power,Power Generation/Distribution,2592546.00,1.71,1519307.00,6245890.00,1.69,3691672.00,528.20,3.65,"JSWENERGY,"
Gallantt Ispat Ltd.,GALLANTT,NSE,Iron & Steel,Steel & Iron Products,1224807.00,1.67,733218.00,21184298.00,1.51,14055074.00,790.15,16.40,"GALLANTT,"
Bata India Ltd.,BATAINDIA,NSE,Retailing,Footwear,121797.00,1.64,74125.00,288559.00,1.64,176351.00,740.45,0.95,"BATAINDIA,"
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,NSE,Finance,Finance - Asset Management,292410.00,1.63,178883.00,573318.00,1.55,370362.00,1047.75,3.72,"ABSLAMC,"
PI Industries Ltd.,PIIND,NSE,Chemicals,Pesticides & Agrochemicals,248684.00,1.63,152816.00,529398.00,1.85,285396.00,3042.10,4.56,"PIIND,"
Hindustan Copper Ltd.,HINDCOPPER,NSE,Non - Ferrous Metals,Metal - Non Ferrous,2975384.00,1.62,1836190.00,11578843.00,1.58,7339231.00,548.45,4.06,"HINDCOPPER,"
Aadhar Housing Finance Ltd.,AADHARHFC,NSE,Finance,Finance - Housing,381809.00,1.59,239829.00,638640.00,1.65,386883.00,480.65,2.35,"AADHARHFC,"
Home First Finance Company India Ltd.,HOMEFIRST,NSE,Finance,Finance - Housing,199759.00,1.58,126154.00,364966.00,1.69,215579.00,1092.45,-0.09,"HOMEFIRST,"
UTI Asset Management Company Ltd.,UTIAMC,NSE,Finance,Finance - Asset Management,349724.00,1.57,223173.00,594538.00,1.74,341412.00,1009.60,5.22,"UTIAMC,"
Dr. Lal Pathlabs Ltd.,LALPATHLAB,NSE,Healthcare,Hospital & Healthcare Services,341242.00,1.56,218491.00,526477.00,1.59,330272.00,1437.70,4.20,"LALPATHLAB,"
Concord Biotech Ltd.,CONCORDBIO,NSE,Healthcare,Pharmaceuticals & Drugs,291495.00,1.53,190683.00,461449.00,1.55,298506.00,1040.60,-0.55,"CONCORDBIO,"
Kirloskar Brothers Ltd.,KIRLOSBROS,NSE,Capital Goods,Compressors / Pumps,75467.00,1.53,49379.00,246301.00,1.53,161459.00,1779.10,1.25,"KIRLOSBROS,"
