Higher Trade and Delivery Quantity,
Date: 17-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
NCC Ltd.,NCC,NSE,Infrastructure,Engineering - Construction,2056591.00,1.65,1247720.00,4674643.00,1.57,2972555.00,161.26,0.56,"NCC,"
PB Fintech Ltd.,POLICYBZR,NSE,Information Technology,Fintech,1831328.00,1.65,1112456.00,3749052.00,1.98,1893087.00,1600.60,3.23,"POLICYBZR,"
Godrej Agrovet Ltd.,GODREJAGRO,NSE,Fast Moving Consumer Goods,Animal Feed,74933.00,1.64,45828.00,186623.00,1.80,103581.00,615.75,1.32,"GODREJAGRO,"
Cochin Shipyard Ltd.,COCHINSHIP,NSE,Ship Building,Ship Building,760484.00,1.62,469741.00,3562913.00,1.57,2269185.00,1561.10,4.21,"COCHINSHIP,"
KFin Technologies Ltd.,KFINTECH,NSE,Finance,Depository Services,832457.00,1.62,513512.00,2070074.00,1.54,1347222.00,976.00,2.10,"KFINTECH,"
Abbott India Ltd.,ABBOTINDIA,NSE,Healthcare,Pharmaceuticals & Drugs,8227.00,1.60,5156.00,15053.00,1.52,9891.00,25785.00,-0.29,"ABBOTINDIA,"
Hyundai Motor India Ltd.,HYUNDAI,NSE,Automobile & Ancillaries,Automobiles - Passenger Cars,810116.00,1.59,510792.00,1667502.00,1.53,1089580.00,1902.80,2.72,"HYUNDAI,"
United Spirits Ltd.,UNITDSPR,NSE,Alcohol,Breweries & Distilleries,1521838.00,1.59,954294.00,2825738.00,1.90,1490965.00,1302.90,3.86,"UNITDSPR,"
Piramal Finance Ltd.,PIRAMALFIN,NSE,Finance,Finance - Housing,188312.00,1.58,119294.00,345216.00,1.61,213886.00,1675.30,-1.46,"PIRAMALFIN,"
Mastek Ltd.,MASTEK,NSE,Information Technology,IT - Software,54294.00,1.57,34622.00,134265.00,1.74,77026.00,1746.00,2.85,"MASTEK,"
ITC Ltd.,ITC,NSE,Fast Moving Consumer Goods,Cigarettes/Tobacco,16666367.00,1.55,10765878.00,35111203.00,2.01,17434267.00,306.80,1.12,"ITC,"
Polycab India Ltd.,POLYCAB,NSE,Electricals,Cable,307114.00,1.55,198330.00,683294.00,1.57,434031.00,8182.50,3.53,"POLYCAB,"
Fine Organic Industries Ltd.,FINEORG,NSE,Chemicals,Chemicals,11196.00,1.53,7333.00,25142.00,1.57,16022.00,4907.50,0.13,"FINEORG,"
Nestle India Ltd.,NESTLEIND,NSE,Fast Moving Consumer Goods,Consumer Food,1099872.00,1.51,728189.00,1994195.00,1.58,1265276.00,1285.60,2.24,"NESTLEIND,"
Adani Power Ltd.,ADANIPOWER,NSE,Power,Power Generation/Distribution,25508938.00,1.50,17000133.00,95051761.00,1.55,61374664.00,198.50,2.75,"ADANIPOWER,"
